
thumb_url,title,year,full_image_url
https://alzakan.net/images/Holy%20mohsque/iairb01.jpg,إلى ا لمسجد الحرام,1412,https://alzakan.net/images/to%20the%20holy%20mosque/001To%20Holy%20mohsqueX.jpg
https://alzakan.net/images/Incense/iairb02IncenseS.jpg,ا لبخور,1412,https://alzakan.net/images/Incense/002IntenseX.jpg
https://alzakan.net/images/Usury/iairb03UsuryS.jpg,ا لربا,1413,https://alzakan.net/images/Usury/003UsuryX.jpg
https://alzakan.net/images/holy%20book/iairb04The%20holy%20book.jpg,ا لقرآن,1412,https://alzakan.net/images/holy%20book/004The%20holy%20bookholy%20bookX.jpg
https://alzakan.net/images/Aflower/iairb05AflowerS.jpg,ز هور,1412,https://alzakan.net/images/Aflower/005AflowerX.jpg
https://alzakan.net/images/The%20bout%20&%20the%20night/ioilpaint028.jpg,"ا لقارب 
		واليل",1407,https://alzakan.net/images/The%20bout%20&%20the%20night/028The%20bout%20&%20the%20night.jpg
https://alzakan.net/images/Water%20falls1/ioilpaint021S.jpg,ا لشلال,1407,https://alzakan.net/images/Water%20falls2/020Water%20falls2.jpg
https://alzakan.net/images/An%20nakhal%20tools/ioilpaint030.jpg,ا لنّخّال,1407,https://alzakan.net/images/An%20nakhal%20tools/030An%20nakhal%20toolsxX.jpg
https://alzakan.net/images/Al-Majlis%20An%20old1/ioilpaint026Sٍ.jpg,"ا لمجلس 
		: حارة قديمة",1407,https://alzakan.net/images/Al-Majlis%20An%20old1/026Al-Majlis%20An%20oldX.jpg
https://alzakan.net/images/Lebanon %20A%20torn%20nation/ioilpaint018S.jpg,"أ مة 
		تتمزق",1407,https://alzakan.net/images/Lebanon%C2%A0%20A%20torn%20nation/018Lebanon%C2%A0%20A%20torn%20nation.jpg
https://alzakan.net/images/Pride/ioilpaint035.jpg,ش موخ,140 7,https://alzakan.net/images/Pride/035Pride.jpg
https://alzakan.net/images/The%20subway/ioilpaint034.jpg,ا لنفق,1407,https://alzakan.net/images/The%20subway/034The%20subwayX.jpg
https://alzakan.net/images/OldTOYOTA/toyotas.jpg,تويوتا قديم,1407,https://alzakan.net/images/OldTOYOTA/TOYOTYX.jpg
https://alzakan.net/images/War%20of%20stones /ioilpaint031.jpg,"ح رب 
		الحجارة",140 8,https://alzakan.net/images/Pride/035Pride.jpg
https://alzakan.net/images/An%20old%20neighborhood2/014An%20old%20neighborhoodS.JPG,"س وق 
		قديم",1408,https://alzakan.net/images/An%20old%20neighborhood2/014An%20old%20neighborhood2.jpg
